filename,category,topic,status,version_or_date,last_modified,summary,talking_points,related_docs,webUrl,driveId,itemId,source_type
Questions to Aks a Nonprofit_0226.pdf,Fact Sheet,Nonprofit vetting checklist,current,v20260213,2026-02-16,"Quick-reference checklist of questions to ask a nonprofit before, and after, funding it - shorter and more scannable than the full How to Choose a Nonprofit guide. Note: filename contains a typo ('Aks').","Three question sets: before funding, questions to ask the org directly, and post-funding follow-up|Points to charitynavigator.org as a supplementary vetting tool|Filename typo ('Aks' instead of 'Ask') - flag to Brand Team for correction at source, don't silently rename in the catalog",How to Choose a Nonprofit_The Signatry_202606.pdf (fuller narrative version of the same guidance),https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Fact%20Sheets/Questions%20to%20Aks%20a%20Nonprofit_0226.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63F5662LMLDJRRGKDPX4YUYMQYDL,sharepoint_pdf
What is a Donor Advised Fund?,Webpage,DAF fundamentals,current,n/a,2025-11-19,"Public-facing explainer of DAF mechanics: choose a sponsor, open an account, contribute, then recommend grants or investments. Covers benefits (tax deductions, bunching, tax-free growth, simplified receipts) and an FAQ (deduction timing, fund ownership, eligible grant recipients, cost).","Public-facing counterpart to the SharePoint 'Donor Advised Funds' fact sheet - keep messaging consistent between the two|FAQ explicitly confirms contributions are deductible in the year made, even if grants happen later|Links out to fees page, BRI pools, and 'Why The Signatry' page",Donor Advised Funds - The Signatry - 202509.pdf (SharePoint fact sheet counterpart),https://thesignatry.com/what-is-a-donor-advised-fund/,,,webpage
How to Set Up a Donor Advised Fund,Webpage,DAF onboarding process,current,n/a,2026-06-22,"Step-by-step (6-step) process for opening and using a DAF: select a sponsor, create an online profile, contribute, receive a deduction, recommend a grant, add family members with tiered access.","No minimum contribution requirement and no administrative fee on fund balance - explicitly stated selling points|Explains multi-user/family access levels (view-only, contributions-only, full access) - useful for family-generosity content|Includes a walkthrough video of the contribution-to-grant journey",,https://thesignatry.com/how-to-set-up-a-donor-advised-fund/,,,webpage
Why Set Up a Donor Advised Fund with The Signatry?,Webpage,DAF value proposition / differentiation,current,n/a,2026-06-22,"Positions The Signatry's DAF against competitors across four pillars: Abundant Generosity (fee transparency, tax benefits), Faith-based Generosity (staff shares Statement of Faith, 2x industry payout rate, faith-based grant vetting, BRI investing), Family Generosity (tiered family access), Flexible Generosity (give/grant on your schedule).",Contains a direct claim: payout rate more than 2x higher than industry average - cross-check against signatry-facts before reuse elsewhere|Every staff member signs The Signatry's statement of faith - a distinctive differentiator vs. secular DAF sponsors|Zero administrative fee on fund balance is a repeated selling point across DAF pages,,https://thesignatry.com/why-set-up-a-donor-advised-fund-with-the-signatry/,,,webpage
Biblically Responsible Investment Pools,Webpage,BRI investment pools,current,n/a,2025-11-19,"Describes the 4 investment pool options for a DAF balance: Conservative (30% equity, 0.35% fee), Moderate (45% equity, 0.75% fee), Aggressive (75% equity, 0.75% fee), and Money Market (100% cash equivalents, no management fee). Includes target allocations and a named quote from Eventide's Jason Myhre on BRI performance.","Specific fee schedule: Conservative 35bps, Moderate/Aggressive 75bps, Money Market has no management fee|Pool allocations use 'CWC' fund building blocks (Fixed Income, Alternatives, Large Cap Value/Growth, Small Cap, International)|Quote from Jason Myhre (Eventide) is an external named source - already public, but confirm before reusing elsewhere per standing quote-clearance practice",,https://thesignatry.com/biblically-responsible-investment-pools/,,,webpage
Alternative Investments for Donor Advised Funds,Webpage,Alternative investments,current,n/a,2025-08-29,"Defines alternative investments (private equity, VC, hedge funds, commodities, real estate - anything outside public markets) and walks through the 4-step process: set up a DAF, submit a recommendation form, due diligence/legal review, invest. Only open to existing DAF donors.","PROCESS DIFFERS FROM SHAREPOINT PDF: this page routes recommendations through an online form + Donor Care team; the AlternativeInvestments_TheSignatry_202505.pdf fact sheet cites investments@thesignatry.com directly - reconcile which is current before quoting a contact method|Must have an existing, funded DAF before submitting an alt investment recommendation - cannot submit pre-DAF|Examples given: motorcycle taxi lease-to-own program, cashback-to-charity rewards platform, non-invasive cancer diagnostics",AlternativeInvestments_TheSignatry_202505.pdf (SharePoint fact sheet counterpart - contact channel discrepancy noted above),https://thesignatry.com/alternative-investments/,,,webpage
Advisor Managed Accounts,Webpage,Advisor-managed investment accounts (AMA),current,n/a,2026-01-15,"Explains AMAs: an external brokerage account within a DAF, managed at the donor's recommendation by their own financial advisor, as an alternative to The Signatry's standard investment pools.","Requires a $100,000 minimum DAF balance to be eligible for an AMA - this figure doesn't appear anywhere in the SharePoint catalog, worth flagging as new to signatry-facts|An AMA can only be added to an existing, already-funded DAF - not available at initial setup|Grant recommendations from a fund with an active AMA may take longer since assets must be divested first",,https://thesignatry.com/advisor-managed-accounts/,,,webpage
Other Ways to Give,Webpage,CRT / designated fund / life insurance overview,current,n/a,2024-05-01,"Brief overview of three giving tools that complement a DAF: charitable remainder trusts, designated funds (for IRA QCD eligibility), and life insurance gifts. Links to three downloadable fact sheets (hosted on the marketing CDN, not the SharePoint catalog).","CORRECTED FIGURE: states QCD eligibility age as 70 1/2 - use THIS figure, not the SharePoint Designated Funds fact sheet's age-72 reference, which is outdated|Designated funds (not DAFs) are the vehicle that can receive IRA QCDs - a distinction worth reinforcing in donor-facing content|Fact sheet download links on this page point to a different file host (wp.thesignatry.com CDN) than the SharePoint copies - same topics, verify content parity if both are referenced together","CRTs and The Signatry.pdf, Designated Funds_TheSignatry.pdf, Life Insurance Gifts and The Signatry.pdf (SharePoint counterparts - QCD age conflict noted above)",https://thesignatry.com/other-ways-to-give/,,,webpage
Noncash Asset Giving (Overview),Webpage,Noncash/nonliquid asset giving overview,current,n/a,2026-06-22,"Hub page for noncash giving: 90% of American wealth is in noncash assets, but 80% of giving is cash. Explains the 3-step mechanic (start early, donate before selling, liquidate into the DAF) and links to the four specific asset-type pages (stock, business interests, real estate, cryptocurrency) plus the Generosity Calculator.","Same 90%/80% noncash-giving statistic used across multiple SharePoint fact sheets and this hub page - consistent, no conflict|Functions as the parent/index page for the four specific asset-giving webpages below|Directs to a dedicated contact form (forms.thesignatry.com/nlg-contact-form) rather than the general info@thesignatry.com line - noncash gifts appear to route to a specific team",Ministry Complex Asset Guide.pdf shares the same 90%/80% framing,https://thesignatry.com/asset-giving/,,,webpage
How to Donate Appreciated Stock to Charity,Webpage,Stock/securities gifts,current,n/a,2026-05-22,"Web version of the stock-gift process (donate, deduct + avoid capital gains, Signatry liquidates, recommend grants), with a downloadable factsheet link and a general contact CTA.","Same core mechanic as the SharePoint Publicly Traded Securities fact sheet, no worked-example numbers on this page (numbers live in the linked PDF)|Fact sheet linked from this page is hosted at wp.thesignatry.com, a different location than the SharePoint copy - same content, different host",Publicly Traded Securities_The Signatry.pdf (SharePoint counterpart),https://thesignatry.com/asset-giving/publicly-traded-securities/,,,webpage
Donating Business Interests for Maximum Impact,Webpage,Business interest gifts,current,n/a,2025-11-19,"Web version of the business-interest gift process, featuring two NAMED DONOR TESTIMONIALS (Gib Wood, Rogers Strickland) and a video case study ('Steve's story'). Links to two fact sheets (before-sale and long-term-hold variants) and the '3 Questions to Ask Before Selling Your Business' guide as a lead-gen download.","CONTAINS NAMED DONOR QUOTES (Gib Wood, Rogers Strickland) - already public on the website, but confirm standing clearance before reusing these quotes in a new context per signatry-content-guardrails|Distinguishes two business-interest fact sheets: a before-sale variant and a separate 'long-term hold' variant not yet in the SharePoint catalog - worth sourcing the long-term-hold PDF directly if needed|'3 Questions to Ask Before Selling Your Business' guide is promoted here as a lead-gen download, same content as the SharePoint Guide of the same name","Business Sale_The Signatry.pdf, Three Questions to Ask Before Selling Your Business - The Signatry - 202503A.pdf",https://thesignatry.com/asset-giving/business-interests/,,,webpage
"Donating Real Estate, Land, or Other Property to Charity",Webpage,Real estate gifts,current,n/a,2025-11-19,"Web version of the real estate gift process (start early, donate before selling, liquidate into DAF), no worked-example numbers on-page; links to the Generosity Calculator and a downloadable fact sheet.","Same core mechanic as SharePoint Real Estate fact sheet, but this page omits the $1M/$100K worked example that lives in the PDF|Fact sheet download link points to wp.thesignatry.com CDN, a different host than the SharePoint copy",Real Estate_The Signatry.pdf (SharePoint counterpart),https://thesignatry.com/asset-giving/real-estate/,,,webpage
Donate Bitcoin and other Cryptocurrencies to Make an Impact,Webpage,Cryptocurrency gifts,current,n/a,2025-11-19,"NEW TOPIC not covered anywhere in the SharePoint Fact Sheets/Guides folder. Explains the crypto donation process: fill out a form to generate a unique sending address, send from a digital wallet, and The Signatry (via third-party processor Engiven) converts it to DAF dollars. Accepts 96 different digital currencies.","Genuinely new content - no SharePoint counterpart exists for cryptocurrency giving; consider whether a matching internal fact sheet should be created|Uses a third-party broker (Engiven) with a 2% processing fee; The Signatry does not add its own fee on top|96 accepted currencies as of last fetch - this number could change, verify at time of use rather than treating as fixed",,https://thesignatry.com/asset-giving/cryptocurrency/,,,webpage
Generosity Calculator,Webpage,Interactive giving-impact tool,current,n/a,2024-12-06,"Interactive tool (not static content) letting a donor model the tax/giving difference between selling an asset first vs. donating it before sale. Inputs: asset type (S-Corp, C-Corp, Partnership, Real Estate), fair market value, cost basis, % ownership, gift percentage.","This is a TOOL, not informational content - point users here to run their own numbers rather than trying to replicate its output in static content|Covers four asset types: S-Corp, C-Corp, Partnership, Real Estate - notably not stock/securities or cryptocurrency|Results can be emailed to the user, with an option to request a follow-up from the team",,https://thesignatry.com/generosity-calculator/,,,webpage
